City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
365,Mahibadhoo,MV,82.72,clear sky,3.7833,72.9667,Omadhoo Inn
366,Kuala Sungai Baru,MY,78.84,overcast clouds,2.3594,102.0353,Homestay Villa Suraiya Kuala Sungai Baru Melaka
367,Bardiyah,LY,67.48,overcast clouds,31.7561,25.0865,بورتو بردية
368,Nara,JP,54.5,light rain,34.6851,135.8049,Guesthouse Nara Komachi
369,Canakkale,TR,55.98,clear sky,40.0833,26.8333,
370,Gitega,BI,57.99,overcast clouds,-3.5,29.95,Le QUINQUINA
371,Maneadero,MX,61.11,broken clouds,31.7167,-116.5667,Casa De Thompson
373,Awash,ET,74.71,overcast clouds,8.9833,40.1667,Kediga hotel
374,Safford,US,83.32,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
375,Sao Joao Da Barra,BR,76.48,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
377,High Rock,BS,77.02,light rain,26.6208,-78.2833,Hideaway Bahamas Beach Club
378,Hualmay,PE,69.21,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
379,Barentu,ER,76.98,few clouds,15.1139,37.5928,
380,Puerto Del Rosario,ES,62.35,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
381,Tagusao,PH,82.35,overcast clouds,9.1924,117.8141,Green Villa beach resort
382,Taoudenni,ML,81.25,clear sky,22.6783,-3.9836,
383,Los Llanos De Aridane,ES,58.75,clear sky,28.6585,-17.9182,Valle Aridane
384,Aguimes,ES,61.43,scattered clouds,27.9054,-15.4461,Hotel Villa de Aguimes
386,Akonolinga,CM,70.54,overcast clouds,3.7667,12.25,Le Diamant De Mireille
387,Walvis Bay,,57.09,clear sky,-22.9575,14.5053,Oyster Box Guesthouse
389,Ngunguru,NZ,69.64,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
392,Pompeu,BR,70.72,overcast clouds,-19.2244,-44.9353,
393,Gambiran,ID,80.31,overcast clouds,-6.7988,111.4951,GUBUK KU
395,Fallon,US,66.07,scattered clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
396,Hobyo,SO,80.28,few clouds,5.3505,48.5268,Iftin hotel hobyo
397,Charters Towers,AU,84.27,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
398,Ortona,IT,44.19,overcast clouds,42.3496,14.4039,La Casa del Palombaro
400,Burnie,AU,56.91,light rain,-41.0667,145.9167,Beachfront Voyager Motor Inn
402,Chambas,CU,76.87,clear sky,22.1928,-78.9136,
403,Atar,MR,72.34,clear sky,20.5169,-13.0499,Oumou Elghoura
404,Broome,US,40.69,clear sky,42.2506,-75.833,Chenango Valley State Park
406,Fare,PF,82.29,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
407,Sur,OM,83.41,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
408,Manzanillo,CU,77.9,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
409,Najran,SA,61.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
411,Karoi,ZW,60.96,clear sky,-16.8099,29.6925,Chikangwe Guest houses
412,Kudahuvadhoo,MV,82.51,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
413,Bontang,ID,74.14,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
417,Alamosa,US,58.98,clear sky,37.4695,-105.87,Best Western Alamosa Inn
419,Tsiroanomandidy,MG,62.2,clear sky,-18.7667,46.0333,Hotel Ravinala
420,Vestmannaeyjar,IS,45.82,moderate rain,63.4427,-20.2734,Glamping & Camping
421,Queimadas,BR,74.53,clear sky,-10.9783,-39.6264,Hotel Mandala
423,Middle Island,US,46.26,clear sky,40.8843,-72.9373,Cathedral pines
424,Ghanzi,BW,72.23,overcast clouds,-21.5667,21.7833,Ghanzi Farmhouse
426,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
